,city,latt,longt
0,Greenock,55.94554,-4.775
1,Glasgow,55.85027,-4.24314
2,Preston,53.7651,-2.71825
3,Edinburgh,39.36084,-85.93751
4,Birmingham,52.47676,-1.88078
5,Southampton,37.02058,-76.33733000000002
6,Cambridge,52.20726,0.12708
7,Le Havre,49.50565,0.1277
8,Paris,48.85717,2.34293
9,Amiens,49.89301,2.29664
10,Orléans,47.9083,1.90474
11,Calais,50.94836,1.86477
12,Lyon,45.75679,4.84305
13,Brussels,50.84315,4.36505
14,Le Mans,47.99529,0.19217
15,Reims,49.25928,4.02386
16,Chaumont,48.10944,5.13456
17,Bordeaux,44.84218,-0.581
18,Tours,47.40181,0.69728
19,Montargis,48.00258,2.74336
20,Toulouse,43.5988,1.4379
21,San Sebastián,28.0961,-17.1066
22,Clermont-Ferrand,45.78366,3.1001
23,Angoulême,45.64782,0.15575999999999998
24,Burgos,42.37952,-3.69337
25,Bilbao,43.2627,-2.9253
26,Madrid,40.42953,-3.67932
27,Valladolid,41.642,-4.724080000000002
28,Seville,37.40017,-6.03655
29,Barcelona,41.40368,2.15369
30,Valencia,39.4769,-0.37475
31,Lisbon,38.73291,-9.15131
32,Algeciras,36.12989,-5.45976
33,Huelva,37.27447,-6.94638
34,Mérida,32.66129,-114.92036
35,Málaga,36.72204,-4.420719999999998
36,Inverness,28.84668,-82.34987
37,Perth,44.89881,-76.24856
38,Newcastle,53.01714000000001,-2.24108
39,London,51.51768,-0.11362
40,Carlisle,54.88854,-2.9209400000000003
41,Folkestone,51.09362,1.16128
42,Bristol,36.61535,-82.17319
43,Colchester,51.88105,0.8987
44,Northampton,52.25027,-0.89618
45,Dover,39.87796,-80.87246999999998
46,Bruges,51.2098,3.225
47,Rouen,49.44923,1.09419
48,Orange,33.80392,-117.8288
49,Chambéry,45.57555,5.91916
50,Pont-d'Ain,46.05327,5.34436
51,Grenoble,45.17929,5.72215
52,Narbonne,43.17598,3.03187
53,Marseille,43.30118,5.40315
54,Girona,41.9787,2.82251
55,Tarragona,41.12805,1.26489
56,Castellón de la Plana,40.00149,0.02313
57,Alicante,38.53996,-0.50579
58,Murcia,37.97627,-1.12174
