source, target
0, 1
2, 1
3, 1
4, 1
5, 1
6, 1
7, 1
8, 1
9, 1
10, 1
11, 1
12, 1
13, 1
14, 1
15, 1
16, 1
17, 1
18, 1
19, 1
20, 1
21, 1
22, 1
23, 1
24, 1
25, 1
26, 1
27, 1
28, 1
29, 1
30, 1
31, 1
32, 1
33, 1
34, 1
35, 1
36, 1
37, 1
38, 1
39, 1
40, 1
41, 1
42, 1
43, 1
44, 1
45, 1
46, 1
47, 1
48, 1
49, 1
50, 1
51, 1
52, 1
53, 1
54, 1
55, 1
56, 1
57, 1
58, 1
59, 1
60, 1
61, 1
62, 1
63, 1
64, 1
65, 1
66, 1
67, 1
68, 1
69, 1
70, 1
71, 1
72, 1
5, 73
7, 73
18, 73
19, 73
23, 73
34, 73
38, 73
43, 73
45, 73
51, 73
74, 73
65, 73
10, 68
1, 68
19, 68
38, 68
75, 68
76, 68
77, 68
78, 68
79, 68
80, 68
34, 81
80, 81
82, 81
0, 80
2, 80
3, 80
6, 80
83, 80
84, 80
15, 80
16, 80
85, 80
86, 80
87, 80
17, 80
19, 80
22, 80
23, 80
88, 80
89, 80
31, 80
32, 80
33, 80
34, 80
35, 80
38, 80
40, 80
41, 80
43, 80
44, 80
46, 80
47, 80
90, 80
91, 80
50, 80
53, 80
54, 80
55, 80
56, 80
58, 80
64, 80
92, 80
65, 80
66, 80
67, 80
68, 80
93, 80
94, 80
95, 80
70, 80
81, 80
72, 80
1, 4
1, 13
96, 14
1, 14
85, 14
86, 14
97, 14
98, 14
32, 14
99, 14
100, 14
61, 14
62, 14
101, 14
70, 14
1, 60
102, 93
8, 93
83, 93
87, 93
19, 93
23, 93
103, 93
104, 93
26, 93
105, 93
42, 93
75, 93
64, 93
106, 93
80, 93
1, 12
107, 12
38, 12
70, 12
2, 62
5, 62
6, 62
7, 62
83, 62
10, 62
108, 62
14, 62
1, 62
16, 62
109, 62
19, 62
20, 62
22, 62
23, 62
24, 62
110, 62
34, 62
35, 62
37, 62
38, 62
40, 62
41, 62
43, 62
75, 62
76, 62
46, 62
47, 62
111, 62
74, 62
63, 62
65, 62
94, 62
8, 95
87, 95
19, 95
23, 95
112, 95
34, 95
36, 95
38, 95
75, 95
76, 95
74, 95
65, 95
80, 95
107, 113
38, 113
70, 113
114, 34
1, 34
85, 34
86, 34
73, 34
98, 34
107, 34
115, 34
32, 34
33, 34
38, 34
39, 34
61, 34
62, 34
95, 34
80, 34
82, 34
70, 34
81, 34
6, 116
96, 116
85, 116
32, 116
38, 116
96, 83
86, 83
89, 83
98, 83
115, 83
33, 83
62, 83
93, 83
80, 83
82, 83
70, 83
32, 109
33, 109
39, 109
61, 109
62, 109
32, 117
33, 117
89, 118
119, 118
115, 118
61, 118
70, 118
114, 102
96, 102
1, 102
86, 102
73, 102
90, 102
91, 102
55, 102
61, 102
62, 102
93, 102
70, 102
114, 7
96, 7
1, 7
86, 7
73, 7
90, 7
91, 7
55, 7
61, 7
62, 7
93, 7
70, 7
1, 11
38, 120
70, 120
96, 121
86, 121
70, 121
96, 47
1, 47
115, 47
62, 47
80, 47
82, 47
1, 52
70, 52
114, 74
96, 74
85, 74
86, 74
97, 74
73, 74
89, 74
98, 74
32, 74
122, 74
61, 74
62, 74
101, 74
95, 74
82, 74
3, 32
5, 32
6, 32
8, 32
10, 32
14, 32
1, 32
87, 32
109, 32
19, 32
23, 32
103, 32
89, 32
112, 32
28, 32
105, 32
107, 32
115, 32
34, 32
75, 32
44, 32
46, 32
74, 32
77, 32
122, 32
116, 32
123, 32
58, 32
117, 32
67, 32
78, 32
80, 32
82, 32
70, 32
124, 32
1, 8
85, 8
86, 8
32, 8
33, 8
39, 8
49, 8
61, 8
93, 8
95, 8
89, 84
33, 84
61, 84
80, 84
97, 87
89, 87
107, 87
32, 87
33, 87
61, 87
93, 87
95, 87
80, 87
114, 19
96, 19
1, 19
85, 19
86, 19
73, 19
89, 19
98, 19
107, 19
31, 19
32, 19
33, 19
39, 19
90, 19
91, 19
125, 19
126, 19
55, 19
123, 19
100, 19
61, 19
62, 19
101, 19
68, 19
69, 19
93, 19
95, 19
80, 19
82, 19
124, 19
1, 24
33, 24
62, 24
86, 103
32, 103
39, 103
100, 103
61, 103
101, 103
93, 103
61, 104
93, 104
89, 112
32, 112
33, 112
61, 112
95, 112
114, 27
96, 27
1, 27
33, 27
61, 27
114, 105
32, 105
100, 105
61, 105
101, 105
93, 105
33, 127
114, 75
96, 75
85, 75
86, 75
32, 75
33, 75
90, 75
91, 75
53, 75
55, 75
100, 75
61, 75
62, 75
92, 75
101, 75
68, 75
69, 75
93, 75
95, 75
96, 111
86, 111
33, 111
100, 111
61, 111
62, 111
101, 111
1, 3
85, 3
107, 3
32, 3
33, 3
38, 3
80, 3
82, 3
1, 17
80, 17
70, 17
1, 28
32, 28
1, 57
1, 67
32, 67
33, 67
38, 67
80, 67
1, 71
1, 56
89, 56
107, 56
115, 56
38, 56
123, 56
80, 56
82, 56
70, 56
124, 56
96, 22
1, 22
123, 22
62, 22
80, 22
82, 22
70, 22
96, 65
1, 65
86, 65
73, 65
98, 65
107, 65
115, 65
38, 65
123, 65
100, 65
62, 65
101, 65
95, 65
80, 65
82, 65
70, 65
96, 0
1, 0
107, 0
80, 0
70, 0
96, 6
1, 6
86, 6
89, 6
98, 6
115, 6
32, 6
38, 6
116, 6
123, 6
62, 6
101, 6
80, 6
70, 6
124, 6
96, 10
1, 10
85, 10
86, 10
97, 10
98, 10
115, 10
32, 10
62, 10
92, 10
101, 10
68, 10
70, 10
96, 16
1, 16
98, 16
107, 16
115, 16
38, 16
62, 16
80, 16
70, 16
1, 44
115, 44
32, 44
91, 44
53, 44
61, 44
80, 44
82, 44
96, 76
85, 76
86, 76
97, 76
89, 76
98, 76
107, 76
62, 76
92, 76
101, 76
68, 76
95, 76
70, 76
96, 46
1, 46
32, 46
62, 46
80, 46
70, 46
96, 77
32, 77
68, 77
1, 58
85, 58
98, 58
115, 58
32, 58
101, 58
80, 58
70, 58
96, 128
85, 128
86, 128
97, 128
98, 128
107, 128
61, 128
92, 128
101, 128
96, 129
85, 129
98, 129
70, 129
96, 78
85, 78
86, 78
98, 78
32, 78
61, 78
101, 78
68, 78
85, 79
98, 79
115, 79
68, 79
70, 79
1, 48
102, 55
1, 55
19, 55
38, 55
75, 55
80, 55
5, 123
6, 123
130, 123
18, 123
19, 123
22, 123
23, 123
32, 123
33, 123
38, 123
131, 123
56, 123
65, 123
132, 119
130, 119
23, 119
38, 119
