Source,Target,Type,Id,Label,timeset,Weight
0,1,Directed,6004,,,1
2,1,Directed,6005,,,1
3,1,Directed,6006,,,1
4,1,Directed,6007,,,1
5,1,Directed,6008,,,1
6,1,Directed,6009,,,1
7,1,Directed,6010,,,1
8,1,Directed,6011,,,1
9,1,Directed,6012,,,1
10,1,Directed,6013,,,1
11,1,Directed,6014,,,1
12,1,Directed,6015,,,1
13,1,Directed,6016,,,1
14,1,Directed,6017,,,1
15,1,Directed,6018,,,1
16,1,Directed,6019,,,1
17,1,Directed,6020,,,1
18,1,Directed,6021,,,1
19,1,Directed,6022,,,1
20,1,Directed,6023,,,1
21,1,Directed,6024,,,1
22,1,Directed,6025,,,1
23,1,Directed,6026,,,1
24,1,Directed,6027,,,1
25,1,Directed,6028,,,1
26,1,Directed,6029,,,1
27,1,Directed,6030,,,1
28,1,Directed,6031,,,1
29,1,Directed,6032,,,1
30,1,Directed,6033,,,1
31,1,Directed,6034,,,1
32,1,Directed,6035,,,1
33,1,Directed,6036,,,1
34,1,Directed,6037,,,1
35,1,Directed,6038,,,1
36,1,Directed,6039,,,1
37,1,Directed,6040,,,1
38,1,Directed,6041,,,1
39,1,Directed,6042,,,1
40,1,Directed,6043,,,1
41,1,Directed,6044,,,1
42,1,Directed,6045,,,1
43,1,Directed,6046,,,1
44,1,Directed,6047,,,1
45,1,Directed,6048,,,1
46,1,Directed,6049,,,1
47,1,Directed,6050,,,1
48,1,Directed,6051,,,1
49,1,Directed,6052,,,1
50,1,Directed,6053,,,1
51,1,Directed,6054,,,1
52,1,Directed,6055,,,1
53,1,Directed,6056,,,1
54,1,Directed,6057,,,1
55,1,Directed,6058,,,1
56,1,Directed,6059,,,1
57,1,Directed,6060,,,1
58,1,Directed,6061,,,1
59,1,Directed,6062,,,1
60,1,Directed,6063,,,1
61,1,Directed,6064,,,1
62,1,Directed,6065,,,1
63,1,Directed,6066,,,1
64,1,Directed,6067,,,1
65,1,Directed,6068,,,1
66,1,Directed,6069,,,1
67,1,Directed,6070,,,1
68,1,Directed,6071,,,1
69,1,Directed,6072,,,1
70,1,Directed,6073,,,1
71,1,Directed,6074,,,1
72,1,Directed,6075,,,1
5,73,Directed,6076,,,1
7,73,Directed,6077,,,1
18,73,Directed,6078,,,1
19,73,Directed,6079,,,1
23,73,Directed,6080,,,1
34,73,Directed,6081,,,1
38,73,Directed,6082,,,1
43,73,Directed,6083,,,1
45,73,Directed,6084,,,1
51,73,Directed,6085,,,1
74,73,Directed,6086,,,1
65,73,Directed,6087,,,1
10,68,Directed,6088,,,1
1,68,Directed,6089,,,1
19,68,Directed,6090,,,1
38,68,Directed,6091,,,1
75,68,Directed,6092,,,1
76,68,Directed,6093,,,1
77,68,Directed,6094,,,1
78,68,Directed,6095,,,1
79,68,Directed,6096,,,1
80,68,Directed,6097,,,1
34,81,Directed,6098,,,1
80,81,Directed,6099,,,1
82,81,Directed,6100,,,1
0,80,Directed,6101,,,1
2,80,Directed,6102,,,1
3,80,Directed,6103,,,1
6,80,Directed,6104,,,1
83,80,Directed,6105,,,1
84,80,Directed,6106,,,1
15,80,Directed,6107,,,1
16,80,Directed,6108,,,1
85,80,Directed,6109,,,1
86,80,Directed,6110,,,1
87,80,Directed,6111,,,1
17,80,Directed,6112,,,1
19,80,Directed,6113,,,1
22,80,Directed,6114,,,1
23,80,Directed,6115,,,1
88,80,Directed,6116,,,1
89,80,Directed,6117,,,1
31,80,Directed,6118,,,1
32,80,Directed,6119,,,1
33,80,Directed,6120,,,1
34,80,Directed,6121,,,1
35,80,Directed,6122,,,1
38,80,Directed,6123,,,1
40,80,Directed,6124,,,1
41,80,Directed,6125,,,1
43,80,Directed,6126,,,1
44,80,Directed,6127,,,1
46,80,Directed,6128,,,1
47,80,Directed,6129,,,1
90,80,Directed,6130,,,1
91,80,Directed,6131,,,1
50,80,Directed,6132,,,1
53,80,Directed,6133,,,1
54,80,Directed,6134,,,1
55,80,Directed,6135,,,1
56,80,Directed,6136,,,1
58,80,Directed,6137,,,1
64,80,Directed,6138,,,1
92,80,Directed,6139,,,1
65,80,Directed,6140,,,1
66,80,Directed,6141,,,1
67,80,Directed,6142,,,1
68,80,Directed,6143,,,1
93,80,Directed,6144,,,1
94,80,Directed,6145,,,1
95,80,Directed,6146,,,1
70,80,Directed,6147,,,1
81,80,Directed,6148,,,1
72,80,Directed,6149,,,1
1,4,Directed,6150,,,1
1,13,Directed,6151,,,1
96,14,Directed,6152,,,1
1,14,Directed,6153,,,1
85,14,Directed,6154,,,1
86,14,Directed,6155,,,1
97,14,Directed,6156,,,1
98,14,Directed,6157,,,1
32,14,Directed,6158,,,1
99,14,Directed,6159,,,1
100,14,Directed,6160,,,1
61,14,Directed,6161,,,1
62,14,Directed,6162,,,1
101,14,Directed,6163,,,1
70,14,Directed,6164,,,1
1,60,Directed,6165,,,1
102,93,Directed,6166,,,1
8,93,Directed,6167,,,1
83,93,Directed,6168,,,1
87,93,Directed,6169,,,1
19,93,Directed,6170,,,1
23,93,Directed,6171,,,1
103,93,Directed,6172,,,1
104,93,Directed,6173,,,1
26,93,Directed,6174,,,1
105,93,Directed,6175,,,1
42,93,Directed,6176,,,1
75,93,Directed,6177,,,1
64,93,Directed,6178,,,1
106,93,Directed,6179,,,1
80,93,Directed,6180,,,1
1,12,Directed,6181,,,1
107,12,Directed,6182,,,1
38,12,Directed,6183,,,1
70,12,Directed,6184,,,1
2,62,Directed,6185,,,1
5,62,Directed,6186,,,1
6,62,Directed,6187,,,1
7,62,Directed,6188,,,1
83,62,Directed,6189,,,1
10,62,Directed,6190,,,1
108,62,Directed,6191,,,1
14,62,Directed,6192,,,1
1,62,Directed,6193,,,1
16,62,Directed,6194,,,1
109,62,Directed,6195,,,1
19,62,Directed,6196,,,1
20,62,Directed,6197,,,1
22,62,Directed,6198,,,1
23,62,Directed,6199,,,1
24,62,Directed,6200,,,1
110,62,Directed,6201,,,1
34,62,Directed,6202,,,1
35,62,Directed,6203,,,1
37,62,Directed,6204,,,1
38,62,Directed,6205,,,1
40,62,Directed,6206,,,1
41,62,Directed,6207,,,1
43,62,Directed,6208,,,1
75,62,Directed,6209,,,1
76,62,Directed,6210,,,1
46,62,Directed,6211,,,1
47,62,Directed,6212,,,1
111,62,Directed,6213,,,1
74,62,Directed,6214,,,1
63,62,Directed,6215,,,1
65,62,Directed,6216,,,1
94,62,Directed,6217,,,1
8,95,Directed,6218,,,1
87,95,Directed,6219,,,1
19,95,Directed,6220,,,1
23,95,Directed,6221,,,1
112,95,Directed,6222,,,1
34,95,Directed,6223,,,1
36,95,Directed,6224,,,1
38,95,Directed,6225,,,1
75,95,Directed,6226,,,1
76,95,Directed,6227,,,1
74,95,Directed,6228,,,1
65,95,Directed,6229,,,1
80,95,Directed,6230,,,1
107,113,Directed,6231,,,1
38,113,Directed,6232,,,1
70,113,Directed,6233,,,1
114,34,Directed,6234,,,1
1,34,Directed,6235,,,1
85,34,Directed,6236,,,1
86,34,Directed,6237,,,1
73,34,Directed,6238,,,1
98,34,Directed,6239,,,1
107,34,Directed,6240,,,1
115,34,Directed,6241,,,1
32,34,Directed,6242,,,1
33,34,Directed,6243,,,1
38,34,Directed,6244,,,1
39,34,Directed,6245,,,1
61,34,Directed,6246,,,1
62,34,Directed,6247,,,1
95,34,Directed,6248,,,1
80,34,Directed,6249,,,1
82,34,Directed,6250,,,1
70,34,Directed,6251,,,1
81,34,Directed,6252,,,1
6,116,Directed,6253,,,1
96,116,Directed,6254,,,1
85,116,Directed,6255,,,1
32,116,Directed,6256,,,1
38,116,Directed,6257,,,1
96,83,Directed,6258,,,1
86,83,Directed,6259,,,1
89,83,Directed,6260,,,1
98,83,Directed,6261,,,1
115,83,Directed,6262,,,1
33,83,Directed,6263,,,1
62,83,Directed,6264,,,1
93,83,Directed,6265,,,1
80,83,Directed,6266,,,1
82,83,Directed,6267,,,1
70,83,Directed,6268,,,1
32,109,Directed,6269,,,1
33,109,Directed,6270,,,1
39,109,Directed,6271,,,1
61,109,Directed,6272,,,1
62,109,Directed,6273,,,1
32,117,Directed,6274,,,1
33,117,Directed,6275,,,1
89,118,Directed,6276,,,1
119,118,Directed,6277,,,1
115,118,Directed,6278,,,1
61,118,Directed,6279,,,1
70,118,Directed,6280,,,1
114,102,Directed,6281,,,1
96,102,Directed,6282,,,1
1,102,Directed,6283,,,1
86,102,Directed,6284,,,1
73,102,Directed,6285,,,1
90,102,Directed,6286,,,1
91,102,Directed,6287,,,1
55,102,Directed,6288,,,1
61,102,Directed,6289,,,1
62,102,Directed,6290,,,1
93,102,Directed,6291,,,1
70,102,Directed,6292,,,1
114,7,Directed,6293,,,1
96,7,Directed,6294,,,1
1,7,Directed,6295,,,1
86,7,Directed,6296,,,1
73,7,Directed,6297,,,1
90,7,Directed,6298,,,1
91,7,Directed,6299,,,1
55,7,Directed,6300,,,1
61,7,Directed,6301,,,1
62,7,Directed,6302,,,1
93,7,Directed,6303,,,1
70,7,Directed,6304,,,1
1,11,Directed,6305,,,1
38,120,Directed,6306,,,1
70,120,Directed,6307,,,1
96,121,Directed,6308,,,1
86,121,Directed,6309,,,1
70,121,Directed,6310,,,1
96,47,Directed,6311,,,1
1,47,Directed,6312,,,1
115,47,Directed,6313,,,1
62,47,Directed,6314,,,1
80,47,Directed,6315,,,1
82,47,Directed,6316,,,1
1,52,Directed,6317,,,1
70,52,Directed,6318,,,1
114,74,Directed,6319,,,1
96,74,Directed,6320,,,1
85,74,Directed,6321,,,1
86,74,Directed,6322,,,1
97,74,Directed,6323,,,1
73,74,Directed,6324,,,1
89,74,Directed,6325,,,1
98,74,Directed,6326,,,1
32,74,Directed,6327,,,1
122,74,Directed,6328,,,1
61,74,Directed,6329,,,1
62,74,Directed,6330,,,1
101,74,Directed,6331,,,1
95,74,Directed,6332,,,1
82,74,Directed,6333,,,1
3,32,Directed,6334,,,1
5,32,Directed,6335,,,1
6,32,Directed,6336,,,1
8,32,Directed,6337,,,1
10,32,Directed,6338,,,1
14,32,Directed,6339,,,1
1,32,Directed,6340,,,1
