"uid";"code";"name";"country";"latt";"longt"
"0";"AHO";"Alghero (Sardinia)";"Italy";"40.5673";"8.31992"
"1";"BUD";"Budapest";"Hungary";"47.49745";"19.04567"
"2";"ALC";"Alicante";"Spain";"38.53996";"-0.50579"
"3";"ATH";"Athens";"Greece";"37.992309999999996";"23.72062"
"4";"GYD";"Baku";"Azerbaijan";"40.39072";"49.82834"
"5";"BCN";"Barcelona El Prat";"Spain";"41.35104000000001";"2.07715"
"6";"BRI";"Bari";"Italy";"41.11242";"16.86165"
"7";"BSL";"Basel-Mulhouse-Freiburg";"Switzerland";"47.59967";"7.532089999999997"
"8";"SXF";"Berlin Schoenefeld";"Germany";"52.50135";"13.404520000000002"
"9";"BHX";"Birmingham";"United Kingdom";"52.47676";"-1.88078"
"10";"BLQ";"Bologna";"Italy";"44.4992";"11.34188"
"11";"BOD";"Bordeaux";"France";"44.84218";"-0.581"
"12";"BOJ";"Bourgas (Black Sea)";"Bulgaria";"42.509946";"27.462700"
"13";"BRU";"Brussels";"Belgium";"50.84315";"4.36505"
"14";"CRL";"Brussels Charleroi";"Belgium";"50.823";"4.35374"
"15";"CDT";"Castellón";"Spain";"39.98922";"-0.03622"
"16";"CTA";"Catania (Sicily)";"Italy";"37.50562";"14.94403"
"17";"CFU";"Corfu";"Greece";"39.60716";"19.89126"
"18";"DSA";"Doncaster/Sheffield";"United Kingdom";"53.52489";"-1.10156"
"19";"DTM";"Dortmund";"Germany";"51.51166";"7.474589999999999"
"20";"DWC";"Dubai";"United Arab Emirates";"25.10585";"55.21071"
"21";"EDI";"Edinburgh";"United Kingdom";"55.941";"-3.20356"
"22";"ETM";"Eilat";"Israel";"32.794509999999995";"35.01153"
"23";"EIN";"Eindhoven";"Netherlands";"51.4495";"5.47051"
"24";"FRA";"Frankfurt";"Germany";"50.125809999999994";"8.65399"
"25";"GLA";"Glasgow";"United Kingdom";"55.850269999999995";"-4.24314"
"26";"GOT";"Gothenburg Landvetter";"Sweden";"57.7179";"12.14218"
"27";"HAJ";"Hanover";"Germany";"52.378009999999996";"9.75191"
"28";"HER";"Heraklion (Crete)";"Greece";"35.34101";"25.13629"
"29";"IBZ";"Ibiza";"Spain";"38.91213";"1.42462"
"30";"KZN";"Kazan";"Russia";"55.79905";"49.130720000000004"
"31";"HRK";"Kharkiv";"Ukraine";"49.98571";"36.251670000000004"
"32";"KUT";"Kutaisi";"Georgia";"42.27225";"42.676159999999996"
"33";"IEV";"Kyiv - Zhulyany";"Ukraine";"50.39215";"30.444509999999998"
"34";"LCA";"Larnaca";"Cyprus";"34.93379";"33.618959999999994"
"35";"LIS";"Lisbon";"Portugal";"38.74422";"-9.15188"
"36";"LPL";"Liverpool";"United Kingdom";"53.42631";"-2.93385"
"37";"LGW";"London Gatwick";"United Kingdom";"51.15678";"-0.15735"
"38";"LTN";"London Luton";"United Kingdom";"51.88619";"-0.37314"
"39";"LWO";"Lviv";"Ukraine";"49.836040000000004";"24.01374"
"40";"MAD";"Madrid";"Spain";"40.42953";"-3.6793199999999997"
"41";"AGP";"Malaga";"Spain";"36.72204";"-4.420719999999998"
"42";"MMX";"Malmo";"Sweden";"55.58773000000001";"13.02128"
"43";"MLA";"Malta";"Malta";"35.90777999999999";"14.43873"
"44";"MXP";"Milan Malpensa";"Italy";"45.48684";"9.20336"
"45";"VKO";"Moscow";"Russia";"55.75694";"37.60946"
"46";"NAP";"Naples";"Italy";"40.854";"14.240870000000001"
"47";"NCE";"Nice";"France";"43.71084000000001";"7.2579"
"48";"TSE";"Nur-Sultan";"Kazakhstan";"51.029797";"71.463019"
"49";"ODS";"Odesa";"Ukraine";"46.471759999999996";"30.72271"
"50";"OSL";"Oslo";"Norway";"59.91553";"10.76853"
"51";"PMI";"Palma de Mallorca";"Spain";"39.58191";"2.64557"
"52";"ORY";"Paris Orly";"France";"48.85717";"2.34293"
"53";"TGD";"Podgorica";"Montenegro";"42.44332";"19.25646"
"54";"OPO";"Porto";"Portugal";"41.15772";"-8.61112"
"55";"PRN";"Prishtina";"Kosovo";"42.665929999999996";"21.16403"
"56";"KEF";"Reykjavik";"Iceland";"64.1146";"-21.87924"
"57";"RHO";"Rhodes";"Greece";"36.44702";"28.22045"
"58";"FCO";"Rome Fiumicino";"Italy";"41.76541";"12.24909"
"59";"SDR";"Santander";"Spain";"43.46358";"-3.82263"
"60";"SJJ";"Sarajevo";"Bosnia and Herzegovina";"43.85889";"18.36618"
"61";"SKP";"Skopje";"North Macedonia";"42.0";"21.4333"
"62";"SOF";"Sofia";"Bulgaria";"42.77026";"23.35924"
"63";"LED";"St Petersburg";"Russia";"59.93606";"30.3167"
"64";"NYO";"Stockholm Skavsta";"Sweden";"59.33096999999999";"18.048560000000002"
"65";"TLV";"Tel-Aviv";"Israel";"32.005927";"34.882686"
"66";"TFS";"Tenerife (Canary Islands)";"Spain";"27.99129000000001";"-15.49809"
"67";"SKG";"Thessaloniki";"Greece";"40.65097";"22.93694"
"68";"TIA";"Tirana";"Albania";"41.32716";"19.82135"
"69";"TGM";"Tirgu Mures";"Romania";"46.56604";"24.54427"
"70";"WAW";"Warsaw Chopin";"Poland";"52.22939";"21.00799"
"71";"ZTH";"Zakynthos";"Greece";"37.782509999999995";"20.89503"
"72";"OZH";"Zaporizhzhya";"Ukraine";"48.56232";"33.73833"
"73";"DEB";"Debrecen";"Hungary";"47.53378";"21.6379"
"74";"BVA";"Paris Beauvais";"France";"49.418409999999994";"2.09593"
"75";"FMM";"Memmingen/Munich West";"Germany";"47.99364";"10.18821"
"76";"BGY";"Milan Bergamo";"Italy";"45.69898";"9.65961"
"77";"PSA";"Pisa (Tuscany)";"Italy";"43.47162";"10.68027"
"78";"TSF";"Venice Treviso";"Italy";"45.67097";"12.23694"
"79";"VRN";"Verona";"Italy";"45.42801";"10.99354"
"80";"VIE";"Vienna";"Austria";"48.19231";"16.37136"
"81";"EVN";"Yerevan";"Armenia";"40.15447";"44.50791"
"82";"VNO";"Vilnius";"Lithuania";"54.70396";"25.29441"
"83";"BLL";"Billund";"Denmark";"55.72645";"9.12237"
"84";"BRE";"Bremen";"Germany";"53.09149";"8.80742"
"85";"KIV";"Chisinau";"Moldova";"47.01923";"28.835790000000006"
"86";"CLJ";"Cluj-Napoca";"Romania";"46.76642";"23.58795"
"87";"CGN";"Cologne";"Germany";"50.93545";"6.9665"
"88";"FAO";"Faro";"Portugal";"37.05846";"-7.974189999999999"
"89";"GDN";"Gdansk";"Poland";"54.36292";"18.60349"
"90";"INI";"Niš";"Serbia";"43.31807";"21.90116"
"91";"OHD";"Ohrid";"North Macedonia";"41.10568";"20.81543"
"92";"SCV";"Suceava";"Romania";"47.61906";"26.08144"
"93";"TZL";"Tuzla";"Bosnia and Herzegovina";"44.53669";"18.68336"
"94";"VLC";"Valencia";"Spain";"39.4769";"-0.37475"
"95";"VAR";"Varna (Black Sea)";"Bulgaria";"43.21661";"27.90171"
"96";"OTP";"Bucharest";"Romania";"44.438320000000004";"26.094910000000002"
"97";"CRA";"Craiova";"Romania";"44.32368";"23.79982"
"98";"IAS";"Iasi";"Romania";"47.15418";"27.57955"
"99";"LJU";"Ljubljana";"Slovenia";"46.06461";"14.5062"
"100";"SBZ";"Sibiu";"Romania";"45.79261";"24.15065"
"101";"TSR";"Timisoara";"Romania";"45.75273";"21.23693"
"102";"MLH";"Basel-Mulhouse-Freiburg";"Switzerland";"47.59967";"7.532089999999998"
"103";"HHN";"Frankfurt Hahn";"Germany";"50.09746";"8.50038"
"104";"FDH";"Friedrichshafen";"Germany";"47.67345";"9.46851"
"105";"FKB";"Karlsruhe/Baden-Baden";"Germany";"49.00942";"8.40558"
"106";"VXO";"Vaxjo";"Sweden";"56.88554";"14.80591"
"107";"KTW";"Katowice";"Poland";"50.24147";"18.99498"
"108";"BTS";"Bratislava";"Slovakia";"48.16369";"17.11894"
"109";"CPH";"Copenhagen";"Denmark";"55.68189";"12.5458"
"110";"GVA";"Geneva";"Switzerland";"46.20472";"6.14231"
"111";"NUE";"Nuremberg";"Germany";"49.4741";"11.1296"
"112";"HAM";"Hamburg";"Germany";"53.56406";"10.00991"
"113";"SPU";"Split";"Croatia";"43.52466";"16.45299"
"114";"BEG";"Belgrade";"Serbia";"44.7812";"20.46718"
"115";"KRK";"Kraków";"Poland";"50.0516";"19.95653"
"116";"PRG";"Prague";"Czech Republic";"50.06899";"14.45367"
"117";"TLL";"Tallinn";"Estonia";"59.39166";"24.71607"
"118";"TKU";"Turku";"Finland";"60.45553";"22.26819"
