"id","label","name","country"
"0","AHO","Alghero (Sardinia)","Italy"
"1","BUD","Budapest","Hungary"
"2","ALC","Alicante","Spain"
"3","ATH","Athens","Greece"
"4","GYD","Baku","Azerbaijan"
"5","BCN","Barcelona El Prat","Spain"
"6","BRI","Bari","Italy"
"7","BSL","Basel-Mulhouse-Freiburg","Switzerland"
"8","SXF","Berlin Schoenefeld","Germany"
"9","BHX","Birmingham","United Kingdom"
"10","BLQ","Bologna","Italy"
"11","BOD","Bordeaux","France"
"12","BOJ","Bourgas (Black Sea)","Bulgaria"
"13","BRU","Brussels","Belgium"
"14","CRL","Brussels Charleroi","Belgium"
"15","CDT","Castellón","Spain"
"16","CTA","Catania (Sicily)","Italy"
"17","CFU","Corfu","Greece"
"18","DSA","Doncaster/Sheffield","United Kingdom"
"19","DTM","Dortmund","Germany"
"20","DWC","Dubai","United Arab Emirates"
"21","EDI","Edinburgh","United Kingdom"
"22","ETM","Eilat","Israel"
"23","EIN","Eindhoven","Netherlands"
"24","FRA","Frankfurt","Germany"
"25","GLA","Glasgow","United Kingdom"
"26","GOT","Gothenburg Landvetter","Sweden"
"27","HAJ","Hanover","Germany"
"28","HER","Heraklion (Crete)","Greece"
"29","IBZ","Ibiza","Spain"
"30","KZN","Kazan","Russia"
"31","HRK","Kharkiv","Ukraine"
"32","KUT","Kutaisi","Georgia"
"33","IEV","Kyiv - Zhulyany","Ukraine"
"34","LCA","Larnaca","Cyprus"
"35","LIS","Lisbon","Portugal"
"36","LPL","Liverpool","United Kingdom"
"37","LGW","London Gatwick","United Kingdom"
"38","LTN","London Luton","United Kingdom"
"39","LWO","Lviv","Ukraine"
"40","MAD","Madrid","Spain"
"41","AGP","Malaga","Spain"
"42","MMX","Malmo","Sweden"
"43","MLA","Malta","Malta"
"44","MXP","Milan Malpensa","Italy"
"45","VKO","Moscow","Russia"
"46","NAP","Naples","Italy"
"47","NCE","Nice","France"
"48","TSE","Nur-Sultan","Kazakhstan"
"49","ODS","Odesa","Ukraine"
"50","OSL","Oslo","Norway"
"51","PMI","Palma de Mallorca","Spain"
"52","ORY","Paris Orly","France"
"53","TGD","Podgorica","Montenegro"
"54","OPO","Porto","Portugal"
"55","PRN","Prishtina","Kosovo"
"56","KEF","Reykjavik","Iceland"
"57","RHO","Rhodes","Greece"
"58","FCO","Rome Fiumicino","Italy"
"59","SDR","Santander","Spain"
"60","SJJ","Sarajevo","Bosnia and Herzegovina"
"61","SKP","Skopje","North Macedonia"
"62","SOF","Sofia","Bulgaria"
"63","LED","St Petersburg","Russia"
"64","NYO","Stockholm Skavsta","Sweden"
"65","TLV","Tel-Aviv","Israel"
"66","TFS","Tenerife (Canary Islands)","Spain"
"67","SKG","Thessaloniki","Greece"
"68","TIA","Tirana","Albania"
"69","TGM","Tirgu Mures","Romania"
"70","WAW","Warsaw Chopin","Poland"
"71","ZTH","Zakynthos","Greece"
"72","OZH","Zaporizhzhya","Ukraine"
"73","DEB","Debrecen","Hungary"
"74","BVA","Paris Beauvais","France"
"75","FMM","Memmingen/Munich West","Germany"
"76","BGY","Milan Bergamo","Italy"
"77","PSA","Pisa (Tuscany)","Italy"
"78","TSF","Venice Treviso","Italy"
"79","VRN","Verona","Italy"
"80","VIE","Vienna","Austria"
"81","EVN","Yerevan","Armenia"
"82","VNO","Vilnius","Lithuania"
"83","BLL","Billund","Denmark"
"84","BRE","Bremen","Germany"
"85","KIV","Chisinau","Moldova"
"86","CLJ","Cluj-Napoca","Romania"
"87","CGN","Cologne","Germany"
"88","FAO","Faro","Portugal"
"89","GDN","Gdansk","Poland"
"90","INI","Niš","Serbia"
"91","OHD","Ohrid","North Macedonia"
"92","SCV","Suceava","Romania"
"93","TZL","Tuzla","Bosnia and Herzegovina"
"94","VLC","Valencia","Spain"
"95","VAR","Varna (Black Sea)","Bulgaria"
"96","OTP","Bucharest","Romania"
"97","CRA","Craiova","Romania"
"98","IAS","Iasi","Romania"
"99","LJU","Ljubljana","Slovenia"
"100","SBZ","Sibiu","Romania"
"101","TSR","Timisoara","Romania"
"102","MLH","Basel-Mulhouse-Freiburg","Switzerland"
"103","HHN","Frankfurt Hahn","Germany"
"104","FDH","Friedrichshafen","Germany"
"105","FKB","Karlsruhe/Baden-Baden","Germany"
"106","VXO","Vaxjo","Sweden"
"107","KTW","Katowice","Poland"
"108","BTS","Bratislava","Slovakia"
"109","CPH","Copenhagen","Denmark"
"110","GVA","Geneva","Switzerland"
"111","NUE","Nuremberg","Germany"
"112","HAM","Hamburg","Germany"
"113","SPU","Split","Croatia"
"114","BEG","Belgrade","Serbia"
"115","KRK","Kraków","Poland"
"116","PRG","Prague","Czech Republic"
"117","TLL","Tallinn","Estonia"
"118","TKU","Turku","Finland"
"119","KUN","Kaunas","Lithuania"
"120","GNB","Grenoble","France"
"121","LYS","Lyon -Saint-Exupéry","France"
"122","POZ","Poznan","Poland"
"123","RIX","Riga","Latvia"
"124","WRO","Wroclaw","Poland"
"125","SZY","Olsztyn-Mazury","Poland"
"126","PLQ","Palanga – Klaipeda","Lithuania"
"127","LEJ","Leipzig","Germany"
"128","CIA","Rome Ciampino","Italy"
"129","TRN","Turin","Italy"
"130","BGO","Bergen","Norway"
"131","TRF","Oslo Sandefjord Torp","Norway"
"132","AES","Alesund","Norway"
"133","SVG","Stavanger","Norway"
"134","BFS","Belfast","United Kingdom"
"135","SEN","London Southend","United Kingdom"
"136","RAK","Marrakesh","Morocco"
"137","LUZ","Lublin","Poland"
"138","SZZ","Szczecin","Poland"
"139","BOO","Bodø","Norway"
"140","HAU","Haugesund","Norway"
"141","MOL","Molde","Norway"
"142","TOS","Tromso","Norway"
"143","TRD","Trondheim","Norway"
