Authors,Link
"Zhang A., Wang Q., He Y., Lai P., Miu Y., Xiao Z.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079744169&doi=10.1088%2f1757-899X%2f729%2f1%2f012048&partnerID=40&md5=fe1617e62097a485034c73ba181b37f5"
"Wang Z., Li Y., Song Y., Li J., Zhang Q.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078515192&doi=10.3139%2f113.110657&partnerID=40&md5=85b617e00d8b1fba9ad2c728f13126fa"
"Tot A., Podlipnik Č., Bešter-Rogač M., Gadžurić S., Vraneš M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039558118&doi=10.1016%2fj.arabjc.2017.12.011&partnerID=40&md5=0e6fa3f78973a4c8d140513c028037b8"
"Zhou H., Chen L., Wei Z., Lu Y., Peng C., Zhang B., Zhao X., Wu L., Wang Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071399625&doi=10.3390%2fmolecules24173112&partnerID=40&md5=763f9d98bd93bdbe25f3d9e2cef72078"
"Członka S., Strąkowska A., Strzelec K., Kairytė A., Vaitkus S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060606298&doi=10.1016%2fj.polymertesting.2019.01.021&partnerID=40&md5=fbb925d2aa8b11a02c27ac93f4537f9f"
"Tarasova N.P., Zanin A.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061742078&doi=10.1515%2fpac-2018-0716&partnerID=40&md5=4254304358cf9601eb50829ffb71b7f9"
"Li S., Li S., Zhai Q., Jiang Y., Hu M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055039016&doi=10.1016%2fj.molliq.2018.10.014&partnerID=40&md5=2a572a56b01fe809e37a0f3ee71ad8a2"
"Pickford T., Gu X., Heeley E.L., Wan C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072318262&doi=10.1039%2fc9ce01051c&partnerID=40&md5=883cf644d06e1f5c75190c3022e152cc"
"Dias A.R., Costa-Rodrigues J., Teixeira C., Prudêncio C., Gomes P., Ferraz R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063353936&doi=10.2174%2f0929867325666181026110227&partnerID=40&md5=84682b4e1ffbb133738c637d30442529"
"Sahrash R., Siddiqa A., Razzaq H., Iqbal T., Qaisar S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056180405&doi=10.1016%2fj.heliyon.2018.e00847&partnerID=40&md5=dc24bf55ebda6cfc8db6235379085c89"
"Chen S., Zhou B., Ma M., Shi Y., Wang X.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044273121&doi=10.1002%2fpat.4285&partnerID=40&md5=1452c7be6fa26a9afdcbffa7141abf86"
