Author(s) ID,Link
"57203208158;54885268600;36998959500;57203202680;56111949900;6507580484;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058002969&doi=10.1016%2fj.cjche.2018.10.004&partnerID=40&md5=24e64bef2c1249d2d5cd947cd7576eda"
"56583978100;7006560161;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068835536&doi=10.1063%2f1.5082963&partnerID=40&md5=e5d23325f409876a09377f253aa07bc4"
"55616838800;17436612200;57215911559;57198769019;56580246400;56323852100;55617070700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054147165&doi=10.1115%2f1.4036045&partnerID=40&md5=a4bd9eff6d74560a0ace5b41ce0480e4"
"36463589000;57189053211;7006560161;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994765028&doi=10.1063%2f1.4966191&partnerID=40&md5=2b2fa6f792c9d6f9234bcb7c646ac19f"
"7102242615;7006118814;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979222149&doi=10.1515%2fjnet-2016-0024&partnerID=40&md5=c319be8822815dc5545fc6383d44609d"
"26032327300;7003739667;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864313559&doi=10.1016%2fj.corsci.2012.05.029&partnerID=40&md5=869ea5e86ffeb8f078250eb1481edab0"
"35993539800;7005864797;6602320107;7004864639;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48849083470&doi=10.1021%2fjp801894b&partnerID=40&md5=d5be00fd32ef579a93429014e661252b"
"8695791800;52864223900;7006560161;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349098052&doi=10.1021%2fjp711090q&partnerID=40&md5=21da8b9263799ee33d77dfc3eaf6a2e4"
"7005864797;8883639700;7005458857;7004864639;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547916126&doi=10.1063%2f1.2746327&partnerID=40&md5=8c2ba3ff89571c2fac6344de68219860"
"7006395467;7005864797;7004864639;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947286282&doi=10.1021%2fma0621831&partnerID=40&md5=627f9bfaf5659e8ba6b3635846005f90"
"8695791800;7006560161;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847124945&doi=10.1021%2fjp064719q&partnerID=40&md5=1d82e03621966502558e310f302bf4b8"
"7005864797;6602561915;7004864639;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846350227&doi=10.1021%2fjp065825v&partnerID=40&md5=c85073d42fd9cbc60a275c96c493f2d2"
"14024772600;7004864639;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845528781&doi=10.1063%2f1.2402159&partnerID=40&md5=42f70633bca09b83a2f19c36270c4942"
"8695791800;7006560161;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053822115&partnerID=40&md5=57d8c7e5668e91e70249b62a282fa540"
"56321174800;7003770867;56259763300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645672338&doi=10.1021%2fjp056301i&partnerID=40&md5=951c47e5d3d146c6ecae406c77ffee79"
"6602320107;6602568065;7006936545;7005666969;7005033308;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001691792&doi=10.1088%2f0953-8984%2f10%2f15%2f009&partnerID=40&md5=4dad982031b19ca783db6509e8cf58b6"
"6602568065;7006936545;56997684700;7005666969;36947519900;6602363372;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024683655&doi=10.1080%2f01496398908049791&partnerID=40&md5=4b2ed342843fe07383ea78adf5ad5151"
"16486385400;6506163178;6507618659;16487389900;16454894200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250238855&doi=10.1007%2fBF00824973&partnerID=40&md5=0d48496bbe904e03cd3686dde626ab45"
"7801472730;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017531786&doi=10.1016%2f0013-4686%2877%2985015-9&partnerID=40&md5=866969665ee8e6a9f83f5cab78b47cc5"
"16454894200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49449123098&doi=10.1016%2f0009-2509%2877%2980134-6&partnerID=40&md5=265143586f2f58ffdbeade05c6362dfc"
"16486385400;16454894200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250295676&doi=10.1007%2fBF00863672&partnerID=40&md5=650b3baf0aed40ab5c3f4141212d7127"
"16454894200;16486385400;6504783344;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250388307&doi=10.1007%2fBF00867394&partnerID=40&md5=05b3edea4fa4a1a0b18a03595a711bff"
"7402018525;7102840381;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016595247&doi=10.1016%2f0009-2509%2875%2985023-8&partnerID=40&md5=7a2b67cf9d49b36005649245526c6e35"
"55291061700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141640964&doi=10.1515%2fzna-1974-1231&partnerID=40&md5=3861a7917a65f53ec7b89e2cb89b5aab"
"16454894200;16486385400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016000370&doi=10.1007%2fBF00827519&partnerID=40&md5=767177d65f526f22d6e4268ca6348432"
"16454894200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016009815&doi=10.1007%2fBF00827693&partnerID=40&md5=fb893cb618ae3ffe9c11e9d2d0d0fa78"
