id,name,citations,citation_count,Wydzial,Katedra
36987882300,Chojnacka Katarzyna W.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=36987882300&origin=inward,11561,W03,Katedra Zaawansowanych Technologii Materiałowych
7006404110,Miniewicz Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7006404110&origin=inward,8762,W03,Katedra Inżynierii i Modelowania Materiałów Zaawansowanych
7004416503,Wójs Arkadiusz,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004416503&origin=inward,8880,W11,Katedra Fizyki Teoretycznej
6701726588,Dziuban Jan Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701726588&origin=inward,4027,W12,Katedra Mikrosystemów
22958525100,Orlowska-Kowalska T.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=22958525100&origin=inward,8409,Unknown,Unknown
7005144048,Dziedzic Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7005144048&origin=inward,0,W12,Katedra Mikrosystemów
7004062643,Paszkiewicz Regina,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004062643&origin=inward,3312,W12,Katedra Mikroelektroniki i Nanotechnologii
55325485200,Wylomańska Agnieszka,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55325485200&origin=inward,2361,Unknown,Unknown
7003742671,Podbielska Halina M.D.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003742671&origin=inward,3841,W11,Katedra Inżynierii Biomedycznej
7003351322,Kaczmarek Danuta,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003351322&origin=inward,4860,W12,Katedra Mikroelektroniki i Nanotechnologii
7005207365,Wilk Kazimiera Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7005207365&origin=inward,6975,W03,Katedra Inżynierii i Technologii Procesów Chemicznych
6602582989,Bereś-Pawlik Elžbieta M.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602582989&origin=inward,2629,Unknown,Unknown
57194579151,Sokalski W. Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=57194579151&origin=inward,9011,W03,Katedra Inżynierii i Modelowania Materiałów Zaawansowanych
8937758100,Podhorodecki Artur P.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8937758100&origin=inward,6306,W11,Katedra Fizyki Doświadczalnej
7005143970,Kolarz Boz̊ena N.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7005143970&origin=inward,4956,Unknown,Unknown
23009441800,Michalak Izabela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=23009441800&origin=inward,5505,W03,Katedra Zaawansowanych Technologii Materiałowych
7003604847,Trochimczuk Andrzej W.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003604847&origin=inward,8466,W03,Katedra Inżynierii i Technologii Polimerów
6602454565,Górecka-Drzazga Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602454565&origin=inward,2246,W12,Katedra Mikrosystemów
35586842300,PŁaczek-Popko Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35586842300&origin=inward,2769,Unknown,Unknown
6701457042,Turowska-Tyrk Ilona,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701457042&origin=inward,6668,W03,Katedra Inżynierii i Modelowania Materiałów Zaawansowanych
7003961190,Mituś Antoni C.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003961190&origin=inward,2603,W11,Katedra Fizyki Teoretycznej
55816341400,Michalska Danuta F.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55816341400&origin=inward,10535,Unknown,Unknown
8374353100,Sikora Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8374353100&origin=inward,3211,W12,Katedra Nanometrologii
6701919520,Rysiakiewicz-Pasek Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701919520&origin=inward,2156,W11,Katedra Fizyki Doświadczalnej
6602928192,Ściana Beata,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602928192&origin=inward,1561,W12,Katedra Mikroelektroniki i Nanotechnologii
6603869283,Weron Rafał,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603869283&origin=inward,8275,W08,Katedra Badań Operacyjnych i Inteligencji Biznesowej
6603475430,Kwasnicka Halina,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603475430&origin=inward,1653,Unknown,Unknown
6508294435,Antończak Arkadiusz J.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6508294435&origin=inward,2368,W04,"Katedra Teorii Pola, Układów Elektronicznych i Optoelektroniki"
6701480692,Oz̀yhar Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701480692&origin=inward,3746,Unknown,Unknown
6603171262,Matczyszyn Katarzyna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603171262&origin=inward,0,W03,Katedra Inżynierii i Modelowania Materiałów Zaawansowanych
56216323100,Lejczak Barbara,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56216323100&origin=inward,10244,Unknown,Unknown
56035399900,Weron Karina,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56035399900&origin=inward,3931,Unknown,Unknown
7004160819,Dudek Wiesław A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004160819&origin=inward,3177,W13,Katedra Matematyki
35607143900,Gryglewicz Graz̊yna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35607143900&origin=inward,11831,Unknown,Unknown
6701417491,Sołoducho Jadwiga,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701417491&origin=inward,5649,Unknown,Unknown
7004155017,Matynia Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004155017&origin=inward,1154,W03,Katedra Inżynierii i Technologii Procesów Chemicznych
56835277200,Szczurek Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56835277200&origin=inward,1941,W07,"Katedra Klimatyzacji, Ogrzewnictwa, Gazownictwa i Ochrony Powietrza"
35784693200,Kasprzak Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35784693200&origin=inward,665,W04,Katedra Systemów i Sieci Komputerowych
6602325983,Weron Aleksander,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602325983&origin=inward,4691,W13,Katedra Matematyki Stosowanej
6506213586,Sówka Izabela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506213586&origin=inward,2246,W07,Katedra Inżynierii Ochrony Środowiska
7004657104,Bryjak Jolanta,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004657104&origin=inward,6358,W03,Katedra Inżynierii Procesowej i Technologii Materiałów Polimerowych i Węglowych
