id,label,department,orcid,disciplines,publications,citations,impact_factor,supervisorships
903381,Aleksandra Szwaja,Nieznane,Nieznane,[],2,0,0,0
428140,Przemysław B. Kowalczuk,W06,0000-0002-1432-030X,"['inżynieria środowiska', 'górnictwo i energetyka']",104,111,54.572,0
350652,Waldemar Dołęga,W05,0000-0003-2878-1358,"['automatyka', 'elektronika i elektrotechnika']",273,6,0.870,0
903383,Dawid Niedźwiecki,Nieznane,Nieznane,[],1,0,0,0
903382,Kamil Piszczałka,Nieznane,Nieznane,[],1,0,0,0
412890,Adam Nowak,W11,Nieznane,[],30,187,18.149,1
359253,Krzysztof Stempak,W13,0000-0002-9422-5387,['matematyka'],82,590,30.530,2
349159,Zbigniew Gronostajski,W10,0000-0002-3550-1003,['inżynieria mechaniczna'],369,374,86.242,10
447860,Jakub J. Krawczyk,W10,0000-0002-6541-5931,['inżynieria mechaniczna'],43,10,7.352,0
410700,Sławomir Polak,W10,0000-0003-4696-6006,['inżynieria mechaniczna'],117,74,39.106,0
421260,Marek Hawryluk,W10,0000-0002-9338-4327,['inżynieria mechaniczna'],187,108,74.924,0
446900,Marcin D. Kaszuba,W10,0000-0002-7223-9550,['inżynieria mechaniczna'],100,47,46.221,0
800747,Monika Marciniak,W10,Nieznane,[],19,0,2.976,0
037101,Adam Niechajowicz,W10,Nieznane,[],176,89,11.811,0
430900,Maciej Zwierzchowski,W10,0000-0003-4502-1334,['inżynieria mechaniczna'],119,65,29.525,0
007799,Tomasz Chmielewski,W03,Nieznane,[],186,200,15.435,0
446840,Marcin G. Winnicki,W10,0000-0003-2766-116X,['inżynieria mechaniczna'],68,56,42.885,0
450880,Małgorzata J. Rutkowska-Gorczyca,W10,0000-0003-2712-5914,['inżynieria mechaniczna'],79,41,20.080,0
425790,Agnieszka Baszczuk*,W10,0000-0001-5476-352X,['inżynieria mechaniczna'],55,247,49.165,0
491330,Aleksandra M. Małachowska,W10,0000-0002-6503-7723,['inżynieria mechaniczna'],41,44,30.440,0
118682,Witold Posadowski,W12,0000-0002-3470-4415,"['automatyka', 'elektronika i elektrotechnika']",211,398,25.906,2
126557,Zbigniew Znamirowski,W12,Nieznane,[],124,130,29.048,0
111120,Andrzej Ambroziak,W10,0000-0002-8792-2096,['inżynieria mechaniczna'],335,229,51.766,12
903247,Alicja Swebodzińska,W06,Nieznane,[],6,0,0,0
466100,Leszek A. Łatka,W10,0000-0002-5236-5349,['inżynieria mechaniczna'],55,125,26.723,0
430810,Artur Wiatrowski,W12,0000-0002-8594-2384,"['automatyka', 'elektronika i elektrotechnika']",72,64,29.748,0
121198,Janusz Markowski,W12,Nieznane,[],91,23,1.892,0
450870,Krzysztof Billewicz,W08,0000-0002-3708-1591,['informatyka techniczna i telekomunikacja'],89,19,0,0
903095,Paulina Pązik,Nieznane,Nieznane,[],8,0,0,0
010205,Jan Drzymała,W06,Nieznane,[],333,654,59.197,5
903384,Jakub M. Jastrzębski,Nieznane,Nieznane,[],1,0,0,0
135436,Zbigniew Mirski,W10,0000-0002-1261-9279,['inżynieria mechaniczna'],403,36,11.057,6
903385,Piotr Czudak,Nieznane,Nieznane,[],1,0,0,0
800871,Anna M. Nowak,Nieznane,Nieznane,[],5,0,9.723,0
800078,Paweł Cała,W04,Nieznane,[],44,0,1.011,0
343562,Paweł Bieńkowski,W04,0000-0002-9224-3960,['informatyka techniczna i telekomunikacja'],332,46,8.106,0
440750,Bartłomiej Zubrzak,W04,0000-0002-9768-9611,[],85,0,4.298,0
425260,Jarosław Emilianowicz,W04,0000-0002-5910-4774,[],54,0,0,0
230955,Kazimierz Granat,W10,0000-0003-3946-3216,['inżynieria mechaniczna'],310,154,25.547,4
040929,Jacek Pigłowski,W03,0000-0003-3378-1395,['inżynieria chemiczna'],319,490,67.625,9
449080,Mateusz R. Stachowicz,W10,0000-0003-2995-269X,['inżynieria mechaniczna'],100,77,18.732,0
433650,Tomasz Piwowarczyk,W10,0000-0001-6817-6369,['inżynieria mechaniczna'],96,30,13.114,0
049874,Janusz Szymkowski,W09,Nieznane,[],137,8,0.971,0
468750,Marta Tsirigotis-Maniecka,W03,Nieznane,[],40,113,46.354,0
404790,Izabela Polowczyk,W03,0000-0001-7445-9461,['inżynieria chemiczna'],133,293,61.606,0
300140,Ewa Goumissi,PRN,Nieznane,[],10,0,0,0
903388,Tomasz Kudłaty*,W06,Nieznane,[],2,0,0,0
903389,Bartosz Getner,W06,Nieznane,[],1,0,0,0
411460,Bartosz Grzyb,W03,Nieznane,[],36,390,46.697,0
146195,Stanisław Gryglewicz,W03,0000-0001-7080-9356,['inżynieria chemiczna'],154,886,59.549,2
447050,Agata K. Śliwak,W03,Nieznane,[],24,180,64.343,0
479280,Noel Diez Nogues,W03,0000-0002-6072-8947,[],7,105,20.815,0
